job_title,company_name,company_size,location,work_type,work_setting,career_level,education_level,skills_and_tools,job_description,job_requirements,posted_at,url,company_size_min,company_size_max,company_size_avg,min_experience_years,max_experience_years,salary_min,salary_max,salary_currency,salary_period,city,country
Middle C++ Developer,Vertex Technologies,11-50 employees,"Cairo, Egypt",['Full Time'],On-Site,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,"['C++', 'Computer Science', 'Software Development', 'C', 'Design', 'Development', 'Algorithms', 'Information Technology (IT)', 'Linux', 'OOP']","We are looking for a  Middle C++ Developer  to join our large and friendly team of professionals who develop software in various fields like video processing, 3D graphics, embedded systems, etc.  RESPONSIBILITIES:   developing programs in fields of video processing, 3D graphics, embedded systems, etc.    WHAT WE OFFER:    Long-term career stability with a competitive salary paid in USD.  Conditions for steady career development.  Development supported by dedicated mentors and a variety of programs focused on expertise and innovation.  Private medical insurance provided after successful completion of the probationary period  A well-equipped and cozy office supports comfort and productivity across all project stages.  Welcoming atmosphere and a friendly corporate culture.",REQUIRED SKILLS:    bachelor’s degree or higher in Computer Science;  1+ year experience in commercial projects;  solid knowledge of C/C++;  knowledge of OOP principles and design patterns;  basic knowledge STL containers and algorithms;  English speaking level B1 or higher.    WILL BE A PLUS:    experience in design of multithread applications;  experience in developing for Linux;  experience in multiplatform development;  knowledge of CMake.,2026-03-17 10:37:41,https://wuzzuf.net/jobs/p/gkimipyzsrrf-middle-c-developer-vertex-technologies-cairo-egypt,11,50,30,1.0,6.0,,,,,Cairo,Egypt
Senior Data Scientist,Egabi FSI,101-500 employees,"Sheraton, Cairo, Egypt",['Full Time'],On-Site,Experienced (Non-Manager),Bachelor's Degree,"['Computer Science', 'Data Mining', 'Data Science', 'data scientist', 'Hadoop', 'Machine Learning', 'Python', 'SQL', 'Spark']","Collect, clean, and preprocess data from various sources to ensure data quality and accuracy.   Develop and implement advanced statistical models and machine learning algorithms to solve business problems.   Perform exploratory data analysis to identify trends, patterns, and variances in the data.   Analyze large amounts of information to find patterns and solutions.   Design and build data visualizations to effectively communicate findings to stakeholders.   Stay up-to-date with the latest developments in data science, machine learning, and artificial intelligence.   Document and present research findings and methodologies to both technical and non-technical audiences.    Model Development:  Design and implement machine learning algorithms or models tailored to solve specific ML problems. This involves selecting appropriate algorithms/techniques, tuning hyperparameters, and optimizing for performance.    Feature Engineering:  Identify, create, and integrate relevant features from raw data that will improve the performance of the machine learning models.    Model Evaluation:  Assess the performance of machine learning models using appropriate evaluation metrics and techniques such as cross-validation.    Model Deployment:  Integrate machine learning models into production systems, ensuring scalability, reliability, and efficiency.","Bachelor’s degree in Computer Science, Data Science, or a related field.  Proven experience as a Data Scientist or in a similar analytical role.  Proficiency in programming languages such as Python, R scripting, or SQL.  Experience with machine learning frameworks and libraries (e.g., TensorFlow, scikit-learn, PyTorch).  Strong knowledge of statistical analysis, data mining, and data visualization techniques.  Familiarity with data visualization tools such as Tableau, Power BI, or Matplotlib.  Excellent problem-solving skills, result-oriented, and attention to detail.  Strong communication skills with the ability to explain complex concepts to non-technical stakeholders.  Experience with big data technologies (e.g., Hadoop, Spark) is a plus.  Knowledge of cloud platforms (e.g., AWS, Google Cloud, Azure) is desirable.  Excellent English speaking and business writing    What we are offering;    Competitive monthly salary.  Social & Family Health insurance (We bear it entirely).  2 days off/week (Friday & Saturday).  Great Place to work located in Sheraton Heliopolis, Cairo  Awesome Team, we have the best team that is supportive, collaborative, professional, and fun.",2026-03-17 10:39:43,https://wuzzuf.net/jobs/p/o1a7fazksizo-senior-data-scientist-egabi-fsi-cairo-egypt,101,500,300,3.0,6.0,,,,,Cairo,Egypt
Sales Lead - Banking/ Fintech Solutions,Egabi FSI,101-500 employees,"Sheraton, Cairo, Egypt",['Full Time'],On-Site,Experienced (Non-Manager),Bachelor's Degree,"['business', 'Sales', 'Finance', 'Communication', 'sales skills', 'Sales Target', 'Software', 'Negotiation', 'Lead Generation']","Develop and implement comprehensive sales strategies to achieve company growth targets in the banking and fintech software solutions market.  Research and understand the market including competitor analysis to identify potential clients, industry trends, and competitive landscape.  Identify and engage with prospective clients through various channels, including networking, cold calling, and attending industry events.  Identify opportunities for upselling with existing accounts and initiate conversations with relevant stakeholders.  Build and maintain strong relationships with key decision-makers and stakeholders in target financial institutions.  Create positive, long-lasting relationships with current and potential clients through all phases of the sales cycle.  Prepare and deliver compelling sales presentations and product demonstrations to prospective clients.  Mentor and manage a team of sales professionals, providing guidance, training, and support to achieve individual and team sales targets.  Collaborate with the product team and provide feedback from the field to help shape future products.  Monitor and report on sales performance, providing insights and recommendations for continuous improvement.","5+ years of sales experience in the banking or fintech software solutions industry, with a proven track record of achieving sales targets.  Bachelor’s degree in Business, Marketing, Finance, or a related field.  MBA or relevant advanced degree is a plus.  Strong understanding of banking and fintech software solutions and industry trends.  Excellent communication, negotiation, and presentation skills.  Ability to work independently and as part of a team in a fast-paced environment.  A passion for problem-solving and constantly improving sales knowledge.  Strong time management skills.     What we offer:     Competitive monthly salary.  Social &amp; Family Health insurance (We bear it entirely).  Great Place to work located in Sheraton Heliopolis, Cairo.  Fantastic Team, we have the best team that is supportive, collaborative, professional, and fun",2026-03-17 10:41:04,https://wuzzuf.net/jobs/p/4vzmzmsw4h4f-sales-lead-banking-fintech-solutions-egabi-fsi-cairo-egypt,101,500,300,5.0,7.0,,,,,Cairo,Egypt
Java Developer,Egabi FSI,101-500 employees,"Sheraton, Cairo, Egypt",['Full Time'],On-Site,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,"['Engineering', 'Git', 'Information Technology (IT)', 'Java', 'OOP', 'Software', 'Computer Science', 'Software Engineering', 'Software Development', 'Web Development', 'SQL', 'Spring Boot', 'spring Framework']","Develop and maintain high-performing, scalable web applications using Java technologies.  Customize workflows and integrate with other enterprise systems.  Collaborate with cross-functional teams to define, design, and deliver new features.  Write clean, maintainable, and efficient code while following best practices.  Analyze code changes and recommend improvements for maintainability and scalability.  Troubleshoot, debug, and resolve application issues.  Ensure application performance, quality, and responsiveness.  Prepare technical documentation and contribute to design discussions.  Work independently or within a team to deliver projects under tight deadlines.","Requirements:    1+ years of experience in the Java development field.  Bachelor’s degree in Computer Science, Engineering, or a related subject.  FinTech / Financial sector experience is preferable.  Goal-oriented and self-motivated  Candidate must have the ability to work independently or within a team environment  Strong oral and written communication skills with the ability to create software design and engineering documents  The ability to multitask and deliver high-quality work under tight deadlines is essential.  Ability to work in a fast-paced environment is crucial  Ability to learn, excel, and deliver at a quick pace is required    &nbsp;    Technical skills:    Experienced Java Developer with knowledge in web framework-based development and Internet technologies  Strong knowledge of OOP, Design Patterns, Data Structure, and Algorithms  Ideal candidate should have hands-on experience in the following: public-facing web application development using JAVA and open-source technologies, tools, and APIs Ex: Spring /Boot stack, Servlets, JSF, JSP, RESTful web services, JDBC, XML, Git, Maven, DevOps, Jenkins, SonarQube. Additional web technologies experience is a plus.  Knowledge of Reporting framework, Jasper, BIRT, …  Knowledge of Maven, Subversion SVN, GIT, and JUnit.  Knowledge of Jira  Knowledge of the Linux command line.  Knowledge of SQL/PL-SQL and Oracle database development (packages, stored procedures, triggers) is a plus.  Experience with application servers: WebLogic, Tomcat  Knowledge of JBPM, Web Development is a plus   &nbsp;    What we are offering:     Social &amp; Family Health insurance (We bear it entirely).  2 days off/week (Friday &amp; Saturday).  Great Place to work located in Sheraton Heliopolis, Cairo.  Awesome Team, we have the best team that is supportive, collaborative, professional, and fun.",2026-03-17 10:42:42,https://wuzzuf.net/jobs/p/tzjktanvvnuq-java-developer-egabi-fsi-cairo-egypt,101,500,300,1.0,3.0,,,,,Cairo,Egypt
Senior Pre-Sales Engineer (Software Solutions & Banking Sector),Egabi FSI,101-500 employees,"Sheraton, Cairo, Egypt",['Full Time'],On-Site,Experienced (Non-Manager),Bachelor's Degree,"['business', 'Sales', 'Finance', 'Communication', 'sales skills', 'Sales Target', 'Software', 'Negotiation', 'Pre-Sales', 'computer', 'Computer Science', 'Software Engineering']",Preparing Technical proposals based on clients' RFP.  Ability to compile client tender responses on the sales team’s behalf.  Prepare and conduct demos for egabiFSI products & offerings.  Ability to Demonstrate egabiFSI products & offerings.  Full Responsibility for Bid Management.  Leading and sharing knowledge with team members.,"4+ years of Pre-sales experience in the banking or fintech software solutions industry.  Bachelor’s degree in Finance or Computer Science, or a related field.  Excellent communication, negotiation, and presentation skills.  Very good in English.  Perfect knowledge of MS Office (Especially Microsoft Excel).  Excellent communication skills and business writing.  Ability to work independently and as part of a team in a fast-paced environment.  Strong time management skills.     What we offer:     Social &amp; Family Health insurance (We bear it entirely).  Great Place to work located in Sheraton Heliopolis, Cairo.  Fantastic Team, we have the best team that is supportive, collaborative, professional, and fun",2026-03-17 10:50:29,https://wuzzuf.net/jobs/p/hg0bbqql8pjy-senior-pre-sales-engineer-software-solutions-banking-sector-egabi-fsi-cairo-egypt,101,500,300,4.0,7.0,,,,,Cairo,Egypt
Senior OBIEE Developer,Egabi FSI,101-500 employees,"Sheraton, Cairo, Egypt",['Full Time'],On-Site,Experienced (Non-Manager),Bachelor's Degree,"['OBIEE', 'Analysis', 'BI Developer', 'BI', 'Data Modeling', 'ETL', 'Database', 'Information Technology (IT)', 'Oracle', 'SQL', 'Computer Science', 'business']","Design, develop, and maintain BI dashboards, reports, and ad-hoc queries using OBIEE/Oracle Analytics Server (OAS).  Design, develop, and maintain publisher reports with templates using OBIEE/OAS  Translate business requirements into technical designs, creating visualizations, reports, and analyses that meet organizational needs.  Optimize the performance of BI reports by tuning the RPD (Repository), SQL queries, and dashboards.  Develop data models and subject areas in the OBIEE/OAS repository (RPD) including physical, business model, and presentation layers.  Create and manage metadata models to ensure accurate representation of data in the reporting layer  Analyze and improve system performance, ensuring high availability of BI services.  Monitor and troubleshoot performance issues related to OBIEE dashboards, analyses, and data models.  Optimize database queries used within BI reports to reduce response times and improve report performance.","Bachelor’s degree in Computer Science, or a related field.  3+ Years of experience as a BI Developer or in a similar role involving OBIEE/Oracle Analytics Server (OAS).  Expertise in OBIEE/OAS RPD (physical, business model, and presentation layers).  Strong SQL skills for database queries and performance tuning  Familiarity with data integration (ETL) processes and tools.  Hands-on experience in data modeling and managing metadata in BI environments.  Proven experience in gathering business requirements and translating them into technical designs.  Strong knowledge of statistical analysis, data mining, and data visualization techniques.  Experience with data visualization tools and techniques.  Excellent problem-solving skills, result-oriented and attention to detail.  Strong communication skills with the ability to explain complex concepts to non-technical stakeholders.  Excellent English speaking and business writing    What we are offering;    Social & Family Health insurance (We bear it entirely).  Great Place to work located in Sheraton Heliopolis, Cairo  Awesome Team, we have the best team that is supportive, collaborative, professional, and fun.",2026-03-17 10:50:52,https://wuzzuf.net/jobs/p/zvrkbrnaoozc-senior-obiee-developer-egabi-fsi-cairo-egypt,101,500,300,3.0,7.0,,,,,Cairo,Egypt
Senior .Net Developer,Egabi FSI,101-500 employees,"Sheraton, Cairo, Egypt",['Full Time'],On-Site,Experienced (Non-Manager),Bachelor's Degree,"['Information Technology (IT)', 'Computer Science', 'ASP.NET', 'MS SQL', 'MS SQL Server', 'javaScript', 'C#', '.NET', 'SQL', 'Entity Framework', 'Web Services', 'ASP', 'Framework', 'Software Development', 'ADO.NET', 'OOP', 'MVC', 'Computer Engineering', 'jQuery', 'Development', 'Software Engineering']","Cooperate with other internal teams to create a software design and architecture  Write clean, scalable code using .NET programming languages  Test and deploy applications and systems  Revise, update, refactor, and debug code  Improve current software  Develop documentation throughout the software development life cycle (SDLC)  Serve as an expert on applications and provide technical support","Excellent knowledge of  ASP.net MVC   Excellent knowledge of  C#&nbsp; and  OOP   Excellent knowledge of Designing and creating  MS SQL Server databases .  Good knowledge of  .Net Core   Good knowledge of ADO.net, LINQ, JavaScript, typescript, jQuery, and Entity framework.  Familiar with  ASP.net web forms  and Web services development.  Familiar with  Microsoft Dynamics CRM .    What we are offering;    Social &amp; Family Health insurance (We bear it entirely).  Great Place to work located in Sheraton Heliopolis.  Awesome Team, we have the best team that is supportive, collaborative, professional, and fun.",2026-03-17 10:52:45,https://wuzzuf.net/jobs/p/bibqwm9d4nyg-senior-net-developer-egabi-fsi-cairo-egypt,101,500,300,3.0,7.0,,,,,Cairo,Egypt
Senior Frontend Developer- Angular,Egabi FSI,101-500 employees,"Sheraton, Cairo, Egypt",['Full Time'],On-Site,Experienced (Non-Manager),Bachelor's Degree,"['Computer Science', 'Information Technology (IT)', 'javaScript', 'CSS', 'CSS3', 'Software Development', 'Angular2+', 'Angular', 'Sass', 'UI', 'Development', 'OOP', 'REST', 'APIs', 'SEO', 'front-end', 'HTML5']","Develop responsive and user-friendly web applications.&nbsp;  Collaborate with backend teams to integrate APIs and deliver seamless functionality.&nbsp;  Write clean, maintainable, and scalable code following best practices.&nbsp;  Troubleshoot, debug, and optimize applications for performance and security.&nbsp;  Ensure cross-browser and cross-platform compatibility.&nbsp;  Participate in code reviews, technical documentation, and knowledge sharing.&nbsp;  Analyze code changes and recommend improvements for maintainability and scalability.&nbsp;  Apply logical and creative problem-solving to deliver effective technical solutions.&nbsp;  Work independently and within a team in a fast-paced, deadline-driven environment.","4+ years of experience in the frontend development field.&nbsp;  Bachelor’s degree in Computer Science, Engineering, or a related subject.&nbsp;  FinTech / Financial sector experience is preferable.&nbsp;  Experienced Frontend Developer with knowledge in web framework-based development and internet technologies.&nbsp;  Strong knowledge of OOP, Design Patterns, Data Structure, and Algorithms.&nbsp;  Hands-on experience with: TypeScript, HTML5, CSS3, SASS, Bootstrap, Angular, JavaScript, Git, Maven, DevOps, Jenkins, SonarQube.&nbsp;  Knowledge of Git, Jira.&nbsp;  Strong understanding of Responsive Design and mobile website development.&nbsp;  Proficiency in package management tools (NPM).&nbsp;  Understanding of UI rendering optimization, caching, bundling, performance optimization, security, and SEO.&nbsp;  Experience in designing and writing modular and reusable components.&nbsp;  Familiarity with PWA, APIs, REST, JSON, and test-driven development (TDD).   What we are offering:   Competitive monthly salary.  Great Place to work located in Sheraton Heliopolis, Cairo.  Awesome Team, we have the best team that is supportive, collaborative, professional and fun.",2026-03-17 10:56:49,https://wuzzuf.net/jobs/p/eikqcdpfottr-senior-frontend-developer-angular-egabi-fsi-cairo-egypt,101,500,300,4.0,7.0,,,,,Cairo,Egypt
Application Support Engineer,Egabi FSI,101-500 employees,"Sheraton, Cairo, Egypt",['Full Time'],On-Site,Experienced (Non-Manager),Bachelor's Degree,"['Banking', 'Communication skills', 'Customer Support', 'IT', 'Customer Service', 'English', 'Finance', 'Microfinance', 'Mortgage', 'Information Technology (IT)', 'Computer Science', 'Technical Support', 'business', 'Application Support']","Taking ownership of reported customer issues   Researching, diagnosing, troubleshooting and identifying solutions to resolve system issues  Following standard procedures for proper communication of unresolved issues to the appropriate internal teams  Ask customers targeted questions to quickly understand the root of the problem  Talk clients through a series of actions, either via phone, email or chat, until the technical issue is solved.  Refer to internal database or external resources to provide accurate tech solutions  Ensure all issues are properly logged  Prioritize and manage several open issues at one time  Follow up with clients to ensure their systems are fully functional after troubleshooting  Prepare accurate and timely reports  Document technical knowledge in the form of notes and manuals","3+ years of working in the IT sector, either on the vendor side or customer side (Banks, Microfinance &amp; Mortgage companies, etc)  Banking/Financial business experience – Banking candidates have a high potential of meeting the required qualifications  Experience in help desk tracking systems.  Excellent problem-solving skills  Excellent communication skills.  Excellent English speaking and writing     What we are offering:     Social &amp; Family Health insurance (We bear it entirely).  Great Place to work located in Sheraton Heliopolis, Cairo.  Awesome Team, we have the best team that is supportive, collaborative, professional, and fun.",2026-03-17 11:02:46,https://wuzzuf.net/jobs/p/0gnbu0ctnwd9-application-support-engineer-egabi-fsi-cairo-egypt,101,500,300,3.0,6.0,,,,,Cairo,Egypt
Testing Engineer,Efada Technology,51-100 employees,"Cairo, Egypt",['Full Time'],Remote,Experienced (Non-Manager),Bachelor's Degree,"['API', 'Appium', 'Architecture', 'Design', 'AWS', 'Linux', 'Docker', 'QC', 'QA', 'Quality Assurance', 'Quality Control', 'Testing', 'Selenium']","Outsourcing opportunity for a huge Enterprise in Africa - Fulltime - Remote - medical + social insurance       An engineer working closely with developers to ensure that what  they develop effectively meets business requirements from both a  functional and non-functional perspective.  The main objective of this role is to continuously evaluate and communicate the quality of the  software, contributing to its continuous improvement.  This role focuses mostly on component/application testing.  This role is not only responsible for coding/testing but also responsible for  documentation, deploying code to production and supporting it.","&nbsp;Comfortable working on Linux/Ubuntu  &nbsp;Very good understanding of Client-server architecture and Web architecture  &nbsp;Git &amp; Linux essentials  &nbsp;Design Tests cases that are concise, atomic, durable, understandable, deterministic and accurat  (CADUDA)  &nbsp;HTTP, SOAP &amp; REST APIs  &nbsp;Relational &amp; NoSQL Databases  &nbsp;Python3 programming  &nbsp;Average understanding of following testing tools/framework  o Selen  o Appium  &nbsp;Zephyr Scale, OWASP Zed Attack Proxy (ZAP), Grafana K  &nbsp;Docker Containers basics (Building &amp; Running), Kubernete  &nbsp;AWS Basics (Lambda Functions, S3, SQS, DynamoDB, ECS, API Gateway)  &nbsp;Gitlab-CI/GitHub Pipeline  &nbsp;Swagger/OAS3, JWT, OAuth2, OpenID Connect",2026-03-17 11:56:55,https://wuzzuf.net/jobs/p/isndrwtncedg-testing-engineer-efada-technology-cairo-egypt,51,100,76,3.0,7.0,,,,,Cairo,Egypt
Odoo Developer (Mid-Level),ecoSAS International,51-100 employees,"Giza, Egypt",['Full Time'],On-Site,Experienced (Non-Manager),Bachelor's Degree,"['Information Technology (IT)', 'Odoo', 'Computer Science', 'Odoo Development', 'Technology', 'Python', 'Development']","Role Purpose To  design, develop, and customize Odoo modules that streamline business operations, ensuring seamless data flow and integration with external systems like SAP Business One.&nbsp;   Key Responsibilities  &nbsp;  Develop and maintain custom Odoo modules  (Python, XML, JavaScript) . &nbsp;  Build and optimize  APIs (REST/JSON-RPC)  for cross-platform integration. &nbsp;  Customize  Odoo reports  and automated workflows. &nbsp;  Manage Postgre SQL database  performance and data integrity.","Qualifications  &nbsp;  Bachelor’s degree in Computer Science, Information Technology, or Information Systems&nbsp;  3+ years of Odoo development experience. &nbsp;  Strong proficiency in Python and Web Services.",2026-03-17 12:32:16,https://wuzzuf.net/jobs/p/eywvysz560lt-odoo-developer-mid-level-ecosas-international-giza-egypt,51,100,76,3.0,6.0,,,,,Giza,Egypt
SAP FICO Consultant,MK Enterprise,501-1000 employees,"Sheikh Zayed, Giza, Egypt",['Full Time'],On-Site,Experienced (Non-Manager),Bachelor's Degree,"['SAP Fi', 'SAP', 'Information Technology (IT)', 'Computer Science', 'Accounting', 'SAP FICO', 'SAP Implementation']","Job Purpose:  The SAP FICO professional is responsible for the implementation, configuration, maintenance, and support of the SAP FICO module. This role acts as a crucial bridge between the Finance & Accounting business teams and the IT organization, ensuring that the SAP system effectively supports all financial processes, complies with accounting principles, and meets business requirements.   Key Responsibilities:    Provide day-to-day support for SAP FICO modules   Troubleshoot and resolve user issues related to finance processes (e.g., AP, AR, GL, Asset Accounting, Cost Center Accounting, Budgeting and payroll).   Identify opportunities for automation, efficiency, and compliance improvements.   Perform SAP FICO module configuration based on business requirements (chart of accounts, posting keys, tax codes etc..).   Coordinate with external consultants, developers, and cross-functional teams.   Prepare training materials and conduct sessions for key users and end-users.   Ensure accurate master data management for financial and controlling areas.   Support the finance team during month-end, quarter-end, and year-end closing activities by ensuring system readiness, automating processes, and troubleshooting closing-related issues.   Support finance reporting needs (SAP standard reports, cost center reports and Consolidations Reports).   Ensure that finance processes comply with internal controls, audit, and regulatory requirements.   Support external and internal audits with required documentation and system access.","Qualifications & Experience:   Essentials :    Bachelor’s degree in finance, Accounting, Information Technology, or a related field.     2+ years of hands-on experience in configuring, implementing, and supporting the SAP FICO  module in an ECC or S/4HANA environment.    Proven hands-on experience in configuring and supporting the SAP FICO module.     Strong understanding of accounting principles and financial business processes.     Experience with at least one full lifecycle SAP implementation or rollout project.  Preferred:      SAP FICO certification.     Experience with S/4HANA Finance (e.g., Universal Journal, New Asset Accounting, Central     Finance).     Knowledge of key integration points with SAP MM, and SD.   Location:  Giza Zoo, Sheikh Zayed.",2026-03-17 13:52:30,https://wuzzuf.net/jobs/p/tyabhomu5qml-sap-fico-consultant-mk-enterprise-giza-egypt,501,1000,750,2.0,6.0,,,,,Giza,Egypt
Senior Business Development Specialist,Mawared Hr system,51-100 employees,"Giza, Giza, Egypt",['Full Time'],On-Site,Experienced (Non-Manager),Bachelor's Degree,"['SaaS', 'Software Sales', 'Business Development', 'odoo sales', 'Sales', 'Sales Field', 'Sales Target', 'Multitasking', 'ERP System', 'ERP Software']","Role Overview  We’re seeking a seasoned Senior Business Development Executive to own and expand a portfolio of our highest‑value clients. You’ll leverage your deep consultative‑selling expertise to drive renewals, upsells, and strategic growth, partnering directly with HR leaders and C‑level executives. Your success will be measured by revenue retention, account expansion, and customer satisfaction.   Key Responsibilities   Needs Analysis & Solution Alignment:  Deeply understand each client’s unique HR challenges and pains, then craft and present tailored Mawared HRMS solutions that deliver clear business value.   Consultative Sales:  Conduct in‑depth needs analyses, deliver ROI‑focused demos, and craft compelling proposals that address complex HR challenges.   Full Sales‑Cycle Management:  Own the end‑to‑end sales process—from prospecting and qualification through proposal, negotiation, and close—to consistently build and convert pipeline.   Cross‑Functional Leadership:  Collaborate with Pre‑Sales, Implementation, and Customer Success teams to ensure seamless onboarding, adoption, and ongoing satisfaction.   Market & Competitive Insights:  Gather and relay customer feedback, competitive intelligence, and market trends to shape product enhancements and sales approaches.","What You Bring   Proven Expertise:  2-5 years in B2B SaaS or enterprise software sales, with a strong record of managing and growing key accounts.   Quota Crusher:  Demonstrated success hitting or surpassing high‑value revenue targets in complex, multi‑stakeholder environments.   C‑Suite Presence:  Exceptional communication and presentation skills—comfortable engaging with HR Directors, VPs, and CXOs.   Strategic Mindset:  Ability to develop and execute long‑term account plans, backed by data‑driven insights and forecasting.   Tech Fluent:  Quick to master new platforms and CRM tools to optimize your sales process.",2026-03-17 14:45:53,https://wuzzuf.net/jobs/p/za4fkobsz2nz-senior-business-development-specialist-mawared-hr-system-giza-egypt,51,100,76,2.0,5.0,,,,,Giza,Egypt
IT Specialist,P24 Capital Markets,101-500 employees,"Cairo, Egypt",['Full Time'],On-Site,"Senior Management (Ceo, Gm, Director, Head)",Not Specified,"['Network Administration', 'Computer Science', 'Information Technology (IT)', 'Technical Support', 'System Administration', 'Troubleshooting', 'Hardware Maintenance', 'Software Installation', 'IT Infrastructure Management', 'Security Protocols', 'Data Backup and Recovery', 'Help Desk Support', 'Windows Server', 'Linux Server']","Join our dynamic team in Cairo, Egypt, as an IT Specialist!  We are seeking a highly motivated and skilled IT professional to manage and optimize our IT infrastructure. This is an exciting opportunity to contribute to a growing organization and make a significant impact on our technological capabilities. This is an  on-site  role.   Responsibilities:    Provide comprehensive  technical support  to end-users, resolving hardware and software issues efficiently.  Manage and maintain the organization's  IT infrastructure , ensuring optimal performance and security.  Install, configure, and troubleshoot  network systems  and applications.  Implement and maintain  data backup and recovery  procedures.  Monitor system performance and identify areas for improvement.  Collaborate with other IT professionals to implement new technologies and solutions.    Skills and Technologies:    Proficiency in  Computer Science  and  Information Technology (IT)  principles.  Strong  technical support  skills with experience in troubleshooting hardware and software issues.  Experience with  network administration  and  system administration .  Knowledge of  security protocols  and data protection measures.  Familiarity with  Windows Server  and  Linux Server  environments.    Growth Opportunities:   This role offers significant growth potential within our organization. You will have the opportunity to expand your skills, work on cutting-edge projects, and advance your career into senior management positions. We are committed to providing ongoing training and development opportunities to help you reach your full potential.   Team and Culture:   Join a collaborative and supportive team environment where your contributions are valued and recognized. We foster a culture of innovation, teamwork, and continuous improvement.","Ready to take your IT career to the next level? Here’s what we’re looking for:     Experience:  2-3 years of experience in an IT-related role, demonstrating a strong understanding of IT principles and practices relevant for a senior management role.   Technical Skills:  Proven expertise in  Computer Science ,  Information Technology (IT) , and  Technical Support .   Network Expertise:  Solid understanding of  network administration  and  system administration  concepts.   Troubleshooting Skills:  Exceptional ability to diagnose and resolve hardware and software issues.   Security Awareness:  Knowledge of  security protocols  and best practices for data protection.   Operating Systems:  Familiarity with  Windows Server  and  Linux Server  environments is highly desirable.   Education:  Bachelor's degree in Computer Science, Information Technology, or a related field is preferred.    If you are a motivated and skilled IT professional seeking a challenging and rewarding opportunity, we encourage you to apply!",2026-03-17 17:02:16,https://wuzzuf.net/jobs/p/sdbb15mitolq-it-specialist-p24-capital-markets-cairo-egypt,101,500,300,2.0,3.0,15000.0,20000.0,EGP,Month,Cairo,Egypt
PHP Full Stack Developer,Mora Communications Company,Unknown,"New Cairo, Cairo, Egypt",['Full Time'],On-Site,Experienced (Non-Manager),Bachelor's Degree,"['PHP', 'Node.js', 'Mongo DB', 'Bootstrap', 'Computer Science', 'Software Development', 'HTML', 'CSS', 'Information Technology (IT)', 'JavaScript', 'jQuery', 'Laravel', 'MySQL']","PHP Full Stack Developer       Work with development teams and product managers to ideate software solutions   Design client-side and server-side architecture   Build the front-end of applications through appealing visual design   Develop and manage well-functioning databases and applications   Write effective APIs   Test software to ensure responsiveness and efficiency   Troubleshoot, debug, and upgrade software   Create security and data protection settings   Build features and applications with a mobile responsive design   Write technical documentation   Work with data scientists and analysts to improve software","Skills     Proven experience as a Full Stack Developer or similar role   Familiarity with common stacks   Knowledge of multiple front-end languages and libraries (HTML, CSS, Bootstrap, JavaScript, XML, jQuery, Ajax)   Knowledge of back-end language (PHP) and PHP frameworks (CodeIgniter,laravel)   Familiarity with MVCs   Familiarity with databases (MySQL) and UI/UX design   Excellent communication and teamwork skills   Great attention to detail   Organizational skills   An analytical mind   Ability to work under pressure   Degree in Computer Science, Statistics, or a relevant field",2026-03-15 23:02:21,https://wuzzuf.net/jobs/p/0whsflbxuria-php-full-stack-developer-mora-communications-company-cairo-egypt,76,76,76,5.0,10.0,30000.0,100000.0,EGP,Month,Cairo,Egypt
