Skill,Count
JavaScript (ES6+),2
SASS,2
Django,2
User Stories,2
Human Resources,2
Attention to Detail,2
accounting,2
analysis,2
front-end,2
microsoft excel,2
data analysis,2
management,2
CRM System,2
Back-end development,2
Startup,2
Microsoft,2
Technical support,2
Computer Vision,2
Software installation,2
Software Deployment,2
LangChain,2
LlamaIndex,2
Vector Databases,2
Oracle Solutions Sales,2
Firewall Management,2
Analytical,2
NOC,2
Solution Selling,2
PL,2
analytical,2
Statistical Analysis,2
Copywriting,2
Microsoft excel,2
Oracle EBS,2
Object Oriented Programming,2
Stakeholder Communication,2
REST API,2
Big Data Technologies,2
Windows OS,2
IOT,2
Hardware Troubleshooting,2
Incident Management,2
Growth Hacking,2
Business Analyst,2
CI/CD pipelines,2
.net,2
System integration,2
Partnership Management,2
Digital Marketing,2
Access Control,2
Strategic Planning,2
Laravel Framework,2
SDK,2
Audio Visual,2
SSL,2
ASP,2
Google Analytics,2
Remote Collaboration,2
Sales Plan,2
TCP/IP,2
Webhooks,2
Golang,2
Financial Accounting,2
VPN Technologies,2
Budget Management,2
Data Integration,2
DB2,2
Client Relationship Management,2
ADO.NET,2
RESTful,2
fintech,2
Linux Operating System,2
Appium,2
Agile development,2
SAP Implementation,2
DHCP,2
Content Writing,2
Systems Administration,2
Information technology (it),2
Process Modeling,2
Citrix,2
Customer Care,2
CAN,2
Business process analysis,2
System Architecture,2
Fintech,2
Hardware Support,2
Service Management,2
RIS,2
Telemarketing,2
System Admin,2
IT Help Desk,2
Data Warehousing,2
Web Scraping,2
Physics,2
front-end web development,2
Infrastructure,2
CEH,2
CISSP,2
Firewall,2
Teaching,2
DAX,2
Process Improvement,2
NestJS,2
Scrum/Kanban,2
VB.net,2
Splunk,2
Incident Response,2
Purchasing,2
Microsoft SQL,2
Winforms,2
Adobe Photoshop,2
Adobe Illustrator,2
Adobe Indesign,2
Figma,2
Access Control System,2
Mobile Testing,2
Programming Language,2
SOAP,2
FortiGate,2
HSM,2
Database Design,2
Hardware maintenance,2
Healthcare,2
Healthcare Marketing,2
product owner,2
Product,2
product manager,2
Jenkins,2
Business Analytics,2
PHP Development,2
Active directory,2
Network troubleshooting,2
Virtualization,2
Marketing Analytics,2
English B2+,2
Project Planning,2
Microsoft Project,2
SAP S/4HANA,2
ASP.net MVC,2
Algorithms,2
Automation Engineering,2
Data Structures,2
Infrastructure as a Service,2
MD101,2
Modern Management,2
Communication & Presentation Skills,2
AJAX,2
Microsoft Active Directory,2
Problem solving,2
REST/SOAP,2
SolidWorks,2
SCM,2
test automation,2
Product Design,2
Computer Maintenance,2
Database Systems,2
Software Product Owner,2
Office Management,2
SSOP,2
Oracle HCM,2
Technical Writing,2
Data Analyst,2
Research,2
Economics,2
Statistics,2
Objective-C,2
GCP,2
Help Desk,2
Network Troubleshooting,2
Disaster Recovery (DR),2
SOC,2
Nutanix,2
Hardware Sales,2
Back End,2
UI/UX Principles,2
Infrastructure Management,2
Test Automation,2
Field Support,1
Mentorship,1
NetSuite,1
SuiteScript 2.x,1
Web Services,1
ASP.NET Core APIs,1
Cisco IOS/NX-OS,1
Juniper Junos OS,1
Routers,1
Switches,1
Firewalls,1
TCP/IP Protocols,1
LAN/WAN Architecture,1
Network Automation,1
Scripting (Python),1
Framework,1
Angular2+,1
Microfinance,1
Mortgage,1
SAP Fi,1
odoo sales,1
front end,1
IT Sales,1
Account Manager,1
Software Development Lifecycle,1
click up,1
Sprint Planning,1
Task Breakdown,1
Android Studio,1
Security Protocols,1
Data Backup and Recovery,1
Help Desk Support,1
Linux Server,1
Mongo DB,1
SAP BW,1
Business Information Systems,1
Mathematics,1
CISM,1
TCP,1
Network Design,1
Oracle E-Business Suite,1
Oracle SQL,1
BI Publisher,1
Performance Tuning,1
User Support,1
Requirement Analysis,1
frontend,1
CISA,1
HTTP,1
Windows/Mac OS support,1
Networking basics,1
Ticketing systems,1
Remote support tools,1
Software installation and configuration,1
IT Security,1
Sales Analysis,1
Outdoor Sales,1
Sales Analyst,1
MS Office Suite,1
Network Connectivity Issues,1
Client Relationships,1
Client Acquisition,1
MS Excel,1
Customer Service Management,1
communication skills,1
Relationship Building,1
backend design,1
ubonto,1
Code Review,1
Technical Leadership,1
Procurement,1
Incident Investigation,1
Regulatory Compliance,1
Safety Auditing,1
Training & Development,1
Emergency Response Planning,1
Environmental Monitoring,1
Report Writing,1
Security Systems,1
corporate security,1
Routing and Switching,1
VPN Configuration,1
Network Monitoring,1
Product Owner (Application-Specific Focus),1
Product Owner,1
business analysis,1
Oracle APEX,1
APEX,1
PL SQL,1
finance report,1
ManageEngine,1
Software Troubleshooting,1
CD,1
software development,1
computer engineering,1
customer service,1
software,1
troubleshooting,1
technical support,1
development,1
it support,1
Office Applications,1
IT Help desk,1
Appliation Support,1
Techno Functional Analysis,1
Oracle ERP,1
Business Process Mapping,1
PL/SQL Development,1
User Training,1
oodo implementation,1
Sophos XG Firewall,1
issabel,1
Microsoft Windows Server,1
vmware esxi,1
PC Troubleshooting,1
A+,1
Printers,1
تحليل السوق,1
دراسة المنافسين,1
تحليل البيانات,1
مقابلات المستخدمين,1
استكشاف المنتج,1
Technical Recruitment,1
Technical Screening,1
Candidate Evaluation,1
Interviewing,1
Talent acquisition,1
English Fluency,1
Technical Assessment,1
Coding Test Review,1
Candidate Verification,1
Proposal Development,1
Networking Fundamentals,1
AP,1
AR,1
"Health, Safety & Environment (HSE) Management",1
Recruitment Strategy,1
Backend Engineering,1
database administration,1
OCA,1
Oracle Database Administration,1
RAC,1
Weblogic Server,1
Report Building,1
Alfa ERP,1
Production,1
AI/ML,1
Fast API,1
Magento,1
Database Administrator,1
backend,1
Hardware Repair,1
CO modules,1
SAP Program,1
MM,1
Sales Account Management,1
Client Relationship Building,1
Team management,1
Technical Management,1
Linux System Administration,1
Linux Servers,1
Django Framework,1
Pandas,1
Pyside,1
Matplotlib,1
Amazon AWS,1
Renewable Energy,1
Energy Storage,1
Simulation and Modeling,1
cluster,1
scaling,1
GitOps,1
automation,1
Python Scripting,1
E-Marketing,1
Advertising,1
Retail Sales,1
digital marketing,1
media,1
Media Buying,1
Digital Marketing Strategy,1
Campaign Management,1
SEO/SEM,1
Social Media Marketing,1
IBM Tools,1
Offline storage,1
Threading,1
network fundamentals,1
web server setup,1
application deployments,1
database setup,1
cloud platforms,1
SDLC Knowledge,1
Pre-Sales Support,1
Technical Presentations,1
IT Solution Design,1
Customer Needs Analysis,1
Software Analysis,1
java,1
"Collect, organize, and analyze data from multiple sources.",1
Prepare reports and dashboards for management.,1
Provide insights and recommendations to improve performance and support decision-making.,1
Collaborate with different teams to support company objectives.,1
"Bachelor’s degree in Statistics, Mathematics, Computer Science, or a related field.",1
"Experience in data analysis and using BI tools (such as Excel, Power BI, or Tableau).",1
Strong analytical skills with the ability to interpret data accurately.,1
Excellent communication skills.,1
Reqnroll,1
Dynamics AX 2012,1
Rancher,1
Automatic Control,1
SSIS,1
Delivery Management,1
AI Agents,1
AI Evaluator,1
LLM Evaluation,1
Data Annotation,1
Data Annotator,1
LoRA,1
PEFT,1
LLM Fine-Tuning,1
Prompt Engineering,1
Retrieval-Augmented Generation,1
Embeddings,1
Semantic Search,1
FAISS,1
Pinecone,1
Weaviate,1
PivotTables,1
Cross-Platform Development,1
Embedded Systems,1
Mobile App Development,1
Front End Development,1
LLM orchestration tools,1
back-end,1
Power bi,1
Pivottables,1
Data visualization,1
Statistical analysis,1
Data modeling,1
Report generation,1
Critical thinking,1
.net core,1
dotnet,1
dot net,1
Dotnet,1
Dot net,1
Asp.net,1
Sql server,1
Entity framework,1
Azure devops,1
Bid Management,1
Toad,1
Dot.NET,1
miscrosoft technologies,1
it policies,1
Software Quality Control,1
paython,1
HIS,1
LIS,1
PACS,1
"Provide technical support for hardware, software, networks & POS.",1
Troubleshoot IT issues across branches.,1
"Install & maintain PCs, printers, routers, and CCTV.",1
"Ensure proper functioning of ERP, emails & internal systems.",1
Monitor network performance and data security.,1
Coordinate with external IT vendors.,1
Bachelor’s in IT / CS or related field.,1
1–3 years of experience (retail experience is a plus).,1
Strong knowledge of networks & Windows OS.,1
POS/ERP experience preferred.,1
Problem-solving skills & ability to handle multi-site support.,1
Manufacturing & Costing,1
Oracle DB,1
Presales Engineering,1
Software Solutions,1
IT Knowledge,1
Instructor,1
It knowledge,1
Configuration & Implementation,1
Oracle EBS Finance,1
Testing & Quality Assurance,1
Integration Support,1
Image Processing,1
Feature Engineering,1
object detection,1
Motion Analysis,1
AI Instructor,1
Odoo CRM,1
RESTful API Integration,1
Version Control (Git),1
Full Stack Web Development,1
HTML5 & CSS3,1
Qweb,1
JWT,1
OAuth2,1
"•	Preparing and reviewing technical documents, BOQs, and specifications related to IT systems. •	Following up on IT project requirements with the execution team and suppliers. •	Assisting in preparing technical submittals, material approvals, and shop dra",1
"•	Following up on IT project requirements with the execution team and suppliers.",1
"•	Assisting in preparing technical submittals, material approvals, and shop drawings (if applicable).",1
"•	Coordinating with different departments to ensure alignment with project requirements.",1
"•	Supporting the IT department in technical and administrative tasks.",1
"•	Monitoring project progress and reporting to management when required.",1
Microsoft Windows,1
MacOS,1
Electronics Engineering,1
Communication Engineering,1
power engineering,1
Marketing Research,1
English Education,1
Target,1
Target Oriented,1
Server Operating Systems,1
Red Hat,1
Lead generation,1
Sales target,1
Sales planning,1
Crm software,1
Business development,1
Account management,1
Presentation skills,1
Market analysis,1
PHP Programming,1
app,1
LangGraph,1
VMWare,1
OS Security,1
gradient boosting algorithms,1
Generative AI technologies,1
Statistical Modeling,1
Odoo Framework,1
Network security,1
B2b sales,1
Strategic planning,1
Client relationship management,1
Sales forecasting,1
Solution selling,1
Risk management,1
Zapier,1
Power Automate,1
Sales Strategy,1
Oracle JD Edwards,1
JD Edwards,1
Computer science,1
Oracle jd edwards,1
Jd edwards,1
Jde e1 development,1
Technical documentation,1
Financial Help Desk,1
Software engineering,1
Erp system,1
It strategy,1
Budget management,1
System security,1
Devops,1
VMware Certified Professional (VCP) required (VCAP preferred).,1
"Strong expertise in NSX-T, vSAN, automation tools.",1
Experience in high-availability and DR environments.,1
Configure,1
Install,1
IIS,1
Application,1
Software Implementation,1
Middleware,1
Log Analysis,1
Workforce Management,1
GCC Projects,1
Application Deployment & Release Management,1
system support,1
Zoho CRM,1
"html, css",1
"redux, zustand, mobx",1
React Query,1
Proofreading,1
Typing,1
Paython,1
Architectural Engineering,1
Architecture Design,1
Architectural Design,1
graphql,1
User Interface (UI),1
Unix/Linux,1
Microsoft Applications,1
CAD Software,1
AutoCAD Software,1
Java Software Development,1
Enterprise Network Support,1
Technical Analysis,1
Technical Support Engineering,1
Field,1
RxJs,1
jest,1
ComputerEngineering,1
javascript,1
ES6,1
Cloud Technology,1
Hyper-V,1
Palo Alto,1
Fortigate Firewall,1
F5 Networks,1
Emails security,1
Web Security,1
Network Security Engineering,1
CCIE Security,1
CCNP Security,1
PCNSE,1
NSE 4/5/7,1
Real Time Management,1
Java Enterprise Application Development,1
Spring Boot & Spring Framework Development,1
Full-Stack Development,1
RESTful API Design & Development,1
IBM FileNet Content Management Development,1
Content Repository Design & Workflow Management,1
Angular Frontend Development (SPA),1
UI Component Development,1
System Integration & Enterprise Application Integration,1
Performance Optimization & Application Security,1
Unit Testing & Integration Testing,1
Code Review & Mentoring,1
Technical Documentation & System Design,1
Backend & Frameworks  Java EE  Spring Boot  Spring MVC  Spring Data JPA,1
Frontend  Angular (v10+)  TypeScript  HTML5  CSS3,1
Content Management / ECM  IBM FileNet Content Manager  FileNet P8 Platform  CE API  FileNet Java APIs  FileNet REST APIs,1
Integration & Architecture  REST APIs  JSON / XML  Microservices Architecture  SOA Integration,1
Databases  SQL Databases  NoSQL Databases,1
DevOps & Development Tools  Git  Maven / Gradle  CI/CD Tools,1
Containers (Plus)  Docker  Kubernetes,1
Product Backlog Management,1
Backlog Prioritization,1
Requirements Clarification,1
Feature Prioritization & Decision Making,1
Product Requirements Understanding,1
User Story Explanation,1
Cross-functional Team Collaboration,1
Product Feature Evaluation,1
Documentation & User Manual Review,1
Client Requirements Alignment,1
API gateway,1
shadow ledger,1
CCNA Security,1
Java EE,1
Socket Programming,1
Maven,1
Hibernate,1
KAFKA,1
AKKA,1
Scalla,1
Spring,1
Netty,1
Laravel PHP,1
Laravel framework,1
Laravel php,1
Mysql database,1
Object-oriented programming (oop),1
Steam,1
Production Engineering,1
New Product Development,1
Ruby on Rails,1
Bitbucket,1
Version control (git),1
Software design patterns,1
"Testing (unit, integration)",1
Troubleshooting Software,1
Scalable Applications,1
Code Refactoring,1
Cloud Technologies,1
AdsPower,1
Multilogin,1
GoLogin,1
Playwright,1
Puppeteer,1
Residential Proxies,1
Mobile Proxies,1
Proxy Rotation,1
Browser Automation,1
Social Media Automation,1
Multi-Account Management,1
Browser Fingerprinting,1
Anti-Detection,1
Beautiful Soup,1
Scrapy,1
SOCKS5,1
Bright Data,1
Canvas Fingerprinting,1
asyncio,1
Flask,1
GitHub,1
Digital Marketing Automation,1
IP Rotation,1
Cold Calling,1
Front-end development,1
"strong experience in software services sales to grow and manage client accounts across Egypt, Africa, and the Gulf, based in Cairo.  This role focuses on consultative selling, long-term account development, and closing custom software delivery engagements",1
and closing custom software delivery engagements,1
role focuses on consultative selling,1
It service management,1
Budgeting,1
Infrastructure management,1
Sales Plans,1
Telecom,1
Payroll System,1
Performance Appraisal,1
Human resources,1
Payroll systems,1
Performance appraisal,1
Employee relations,1
Hr policies,1
Onboarding,1
Compensation & benefits,1
Hris systems,1
Organizational skills,1
IT Operations,1
Operations,1
network,1
networks,1
CRM Application,1
Dynamics CRM,1
Salesforce CRM,1
Software Products,1
Vue,1
LESS,1
Servers,1
NginX,1
socket.io,1
firebase,1
node.js,1
GO,1
SLA Management,1
Microsoft Security,1
IT Service Delivery,1
Database Design & Development,1
"Data Modeling (ERD, Normalization, Schema Design)",1
SQL Query Optimization & Performance Tuning,1
Stored Procedures & Functions Development,1
ETL / ELT Processes,1
High Availability & Disaster Recovery,1
Database Security & Access Control,1
Backup & Restore Management,1
Software Quality Assurance,1
CI/CD Support for Database Deployments,1
Documentation & Technical Communication,1
Microsoft SQL Server  T-SQL  SSMS  SSIS  SQL Agent  AlwaysOn,1
Oracle Database  PL/SQL  SQL*Plus  Data Guard  RMAN  Oracle Enterprise Manager (OEM),1
Cloud & Platforms  Azure SQL  Oracle Cloud Infrastructure (OCI),1
Operating Systems  Linux  Windows Server,1
DevOps / Integration  CI/CD Pipelines  ETL Tools & Data Integration Pipelines,1
Reporting Analysis,1
Microsoft PowerPlatform,1
Microsoft PowerApps,1
ETL Tools,1
Data Transformation Frameworks,1
Food & Beverage,1
Market Analysis,1
Azure SQL,1
Synapse,1
Snowflake,1
BigQuery,1
BPMN,1
Process Design,1
Systems,1
Business Process Re-engineering,1
CMMI Model,1
ISO,1
Six Sigma,1
EasybI,1
UI/UX Collaboration,1
express/koa,1
AWS mongoose,1
serverless,1
Lambda Functions,1
Business Informatics,1
Tech lead,1
Unit Tests,1
"JavaScript (React, Angular, or Vue.js)",1
VB 6,1
VB,1
Virtualization Technologies,1
VB 6.0,1
soc analyst L2,1
Microsoft Operating Systems,1
Log Management,1
Firewall Systems,1
Scripting (Python/Bash),1
Product Ownership,1
Product Lifecycle Management,1
Cross-functional Collaboration,1
Healthcare Technology,1
SonicWALL,1
Demand Planning,1
Supply Chain Management,1
System Implementation,1
VBscript,1
VB Scripting,1
VBA,1
SF,1
Application Security,1
WebSphere,1
WAS,1
TOMCAT,1
MQ,1
Support,1
Compliance,1
governance,1
risk,1
GRC implementor,1
frameworks,1
compliance frameworks,1
GRC Platform,1
IT Risk,1
Application Programming Interface,1
Dynamo,1
pyRevit,1
Revit,1
VoIP,1
implementer,1
Technical Sales,1
WPF Development,1
Multithreading,1
Customer Relationship Management,1
Proposal Writing,1
Product Demonstration,1
Graphic Designer,1
VC,1
Illustrator,1
FullStack,1
NodeJS,1
assurance,1
Test Cases,1
User Testing,1
PHP+,1
Mobile Application Testing,1
Usability Testing,1
Laravel Queues,1
Laravel Scheduler,1
RESTful API Development,1
SQL and NoSQL Databases,1
Object-Oriented Design,1
"Cloud Computing (AWS, Azure, GCP)",1
Git Version Control,1
Customer support,1
english,1
process automation,1
Telecommunication Engineering,1
Network Management,1
Authentication Systems (JWT / OAuth),1
Data Security,1
MySQL / PostgreSQL,1
IT infrastructure management,1
System monitoring,1
Data security,1
Docker or container-based environments,1
Help desk,1
technical,1
Linux server environment,1
User support,1
Windows and Linux OS,1
ETL Development,1
MS Dynamics 365,1
Nginx / Apache,1
Business Requirement Document,1
Software Requirements Specification,1
Business Requirement Document (BRD),1
Diagrams,1
UML,1
UML Modeling,1
Software Development Life Cycle,1
Community Management,1
developer,1
BRD,1
Social Networking Sites,1
Site Engineering,1
Site Management,1
Site Supervision,1
microservises,1
togaf,1
messaging platforms,1
kubernates,1
docker,1
agile,1
figma,1
Infrastructure Engineering,1
Retail,1
JavaScript ES6+,1
Jest,1
Cloud Operations,1
Product knowledge,1
Kanban,1
Remote Support,1
Data Center Management,1
Leadership  Communication,1
Cloud architecture,1
Software Archetict,1
Software Design,1
OpenShift,1
Payment Solutions,1
Bing,1
JScript,1
CSS Javascript,1
basic knowledge italian language,1
senior wordpress developer,1
office in sharm el sheik,1
Onsite,1
Italian,1
Data-Driven Mindset,1
Fluent English (Spoken and written),1
Strong communication,1
Fluent english (spoken and written),1
Remote support,1
It support ticketing systems,1
Google,1
"Operating system knowledge (windows, macos, linux)",1
Taboola,1
Adobe Animate,1
e.g,1
OSCP,1
eWPT,1
ERPNext Development,1
Frappe Framework,1
"Windows Server (Active Directory, DNS, DHCP)  Linux Administration (Ubuntu, CentOS, or RedHat)  Virtualization (VMware, Hyper-V)",1
Virtual LAN,1
Kadam,1
"System Administration, Infrastructure, Windows Server, Active Directory, Linux, Virtualization, VMware, Hyper-V, Cloud Computing, Microsoft Azure, AWS, Networking, Firewalls, Backup & Disaster Recovery",1
Documentation & IT Policies,1
System Performance Monitoring,1
Backup & Disaster Recovery,1
Incident Response & Monitoring Tools,1
micro services,1
java Frameworks,1
oci,1
Propellers,1
Troubleshooting & Production Support (L3),1
Creativity,1
Telegram,1
Content Creation,1
Content Optimization,1
Software Project Management,1
Certified ScrumMaster (CSM),1
Agile Development,1
Agile Testing,1
Certified Scrum Professional (CSP),1
Project Management Institute (PMI),1
Project Cost Control,1
Project Management Office,1
Disaster Recovery,1
Microsoft Access,1
Change Management,1
Conflict Management,1
Project Manager,1
Industry,1
Manager,1
Advertising Campaigns,1
Google Ads,1
Meta Ads,1
LinkedIn Ads,1
Salesforce Administration,1
CRM Implementation,1
data tools,1
Dashboard Usage,1
UI/UX Design,1
ASP.NET Web Forms,1
technical solutions,1
RESTful Web Services,1
Test Planning,1
Performance Testing,1
Artificial Intelligence,1
Professional Content,1
Reports and Insights,1
Use cases,1
WordPress CMS,1
visa,1
mastercard,1
Low Current Engineer,1
ELV Systems,1
Fiber Network,1
UTP Network,1
CCTV system,1
Informatica,1
User Story,1
Training & Onboarding,1
Ushering,1
Workflow Architect,1
Business Process AI,1
MLOps,1
Js,1
Junior AI Automation Specialist,1
Network Infrastructure,1
Microsoft Certified Solutions Developer,1
French,1
WhatsApp Business API,1
AI Workflow Specialist,1
German,1
Windows 10/11,1
Windows Autopilot,1
React.js or Vue.js,1
Coordination,1
Process Improvement & Workflow Optimization,1
Agile & Scrum Methodologies,1
Technical Specification & System Analysis,1
Familiarity with AI / Machine Learning concepts,1
Product Requirements Definition for Tech/AI projects,1
JIRA & Confluence,1
AI Automation Specialist,1
Problem Solving & Critical Thinking,1
Business English,1
Outbound Calls,1
Asp.Net,1
Conversational AI Specialist,1
AngularJS,1
Angularjs,1
Angular 6,1
Wireframes,1
Visual Design,1
GIT,1
VSTS,1
Mern,1
Mern stack,1
Mongodb,1
mern,1
Product development lifecycle management,1
Ci/cd practices,1
Openapi,1
Graphql,1
React native,1
Postgresql,1
Prisma,1
"Strong knowledge of IT infrastructure, networking, and system",1
"administration Experience with Windows / Linux servers and virtualization technologies Proficiency in database management (SQL Server, MySQL, or Oracle)",1
Familiarity with cybersecurity principles and data protection,1
Expo,1
Claude Code,1
Application Support Engineer,1
Technical Support Engineer,1
"Microsoft IIS (Deployment, Application Pools, Hosting)",1
"Microsoft SQL Server (Jobs, Stored Procedures, Performance Tuning, Troubleshooting)",1
Windows Server Administration,1
Web Applications Support & Maintenance,1
SSL Certificates Installation & HTTPS Configuration,1
System Support Engineer,1
iis,1
CRM Integration,1
HTTPS,1
DNS Server,1
System Troubleshooting,1
Deployment,1
Project Implementation,1
Server Integration,1
Trello,1
Azure DevOps,1
LIMS Systems,1
ServiceNow ITSM,1
ServiceNow ITOM,1
ServiceNow HRSD,1
ServiceNow CSM,1
ServiceNow Configuration,1
Business Rules,1
Workflow Design,1
GlideScript,1
Hardware troubleshooting,1
Help desk support,1
Operating systems,1
Remote desktop support,1
Business Process Automation,1
Payroll,1
Inventory,1
Manufacturing,1
ORM,1
NLP,1
Middleware Solutions,1
VB6,1
