job_title,min_experience_years,max_experience_years,Avg_experience_years,career_levels
AI/ML Engineer,1,2,1.5,['Junior']
Software Engineer,3,5,4.0,['Mid-Level']
Software Engineer,4,6,5.0,"['Mid-Level', 'Senior']"
Frontend Developer,3,5,4.0,['Mid-Level']
Security Engineer,5,10,7.5,"['Mid-Level', 'Lead / Principal']"
AI/ML Engineer,3,6,4.5,"['Mid-Level', 'Senior']"
QA Engineer,3,6,4.5,"['Mid-Level', 'Senior']"
Technical Support Engineer,1,3,2.0,"['Junior', 'Mid-Level']"
Data Scientist,5,6,5.5,"['Mid-Level', 'Senior']"
Data Scientist,2,6,4.0,"['Junior', 'Senior']"
Technical Support Engineer,1,3,2.0,"['Junior', 'Mid-Level']"
Mobile Developer,5,6,5.5,"['Mid-Level', 'Senior']"
Software Engineer,3,7,5.0,"['Mid-Level', 'Senior']"
DevOps Engineer,1,6,3.5,"['Junior', 'Senior']"
Business Analyst,2,6,4.0,"['Junior', 'Senior']"
Sales & Business Development,1,3,2.0,"['Junior', 'Mid-Level']"
ERP Specialist,3,7,5.0,"['Mid-Level', 'Senior']"
ERP Specialist,1,2,1.5,['Junior']
Engineering (General),5,7,6.0,"['Mid-Level', 'Senior']"
IT Infrastructure Engineer,3,6,4.5,"['Mid-Level', 'Senior']"
ERP Specialist,3,5,4.0,['Mid-Level']
QA Engineer,3,7,5.0,"['Mid-Level', 'Senior']"
IT Infrastructure Engineer,3,5,4.0,['Mid-Level']
Project Manager,5,6,5.5,"['Mid-Level', 'Senior']"
ERP Specialist,2,3,2.5,"['Junior', 'Mid-Level']"
Frontend Developer,3,6,4.5,"['Mid-Level', 'Senior']"
Sales & Business Development,4,6,5.0,"['Mid-Level', 'Senior']"
Project Manager,2,7,4.5,"['Junior', 'Senior']"
Mobile Developer,3,7,5.0,"['Mid-Level', 'Senior']"
Backend Developer,5,10,7.5,"['Mid-Level', 'Lead / Principal']"
IT Infrastructure Engineer,4,7,5.5,"['Mid-Level', 'Senior']"
Full Stack Developer,3,7,5.0,"['Mid-Level', 'Senior']"
Data Engineer,3,7,5.0,"['Mid-Level', 'Senior']"
Consulting & Specialist,1,3,2.0,"['Junior', 'Mid-Level']"
Frontend Developer,3,7,5.0,"['Mid-Level', 'Senior']"
AI/ML Engineer,4,15,9.5,"['Mid-Level', 'Lead / Principal']"
AI/ML Engineer,3,5,4.0,['Mid-Level']
AI/ML Engineer,2,6,4.0,"['Junior', 'Senior']"
Software Engineer,4,7,5.5,"['Mid-Level', 'Senior']"
DevOps Engineer,15,20,17.5,['Executive / Expert']
AI/ML Engineer,3,5,4.0,['Mid-Level']
Sales & Business Development,3,7,5.0,"['Mid-Level', 'Senior']"
Management,0,3,1.5,"['Fresh Graduate', 'Mid-Level']"
DevOps Engineer,2,3,2.5,"['Junior', 'Mid-Level']"
Mobile Developer,3,6,4.5,"['Mid-Level', 'Senior']"
Technical Support Engineer,0,2,1.0,"['Fresh Graduate', 'Junior']"
Frontend Developer,2,6,4.0,"['Junior', 'Senior']"
Backend Developer,2,7,4.5,"['Junior', 'Senior']"
Business Analyst,2,5,3.5,"['Junior', 'Mid-Level']"
IT Infrastructure Engineer,2,3,2.5,"['Junior', 'Mid-Level']"
HR & Recruitment,6,8,7.0,['Senior']
Mobile Developer,3,6,4.5,"['Mid-Level', 'Senior']"
Sales & Business Development,2,5,3.5,"['Junior', 'Mid-Level']"
Mobile Developer,3,5,4.0,['Mid-Level']
Sales & Business Development,2,3,2.5,"['Junior', 'Mid-Level']"
ERP Specialist,3,6,4.5,"['Mid-Level', 'Senior']"
Software Engineer,1,6,3.5,"['Junior', 'Senior']"
Data Scientist,3,6,4.5,"['Mid-Level', 'Senior']"
Sales & Business Development,5,7,6.0,"['Mid-Level', 'Senior']"
Software Engineer,1,3,2.0,"['Junior', 'Mid-Level']"
Sales & Business Development,4,7,5.5,"['Mid-Level', 'Senior']"
Software Engineer,3,7,5.0,"['Mid-Level', 'Senior']"
Software Engineer,3,7,5.0,"['Mid-Level', 'Senior']"
Frontend Developer,4,7,5.5,"['Mid-Level', 'Senior']"
Technical Support Engineer,3,6,4.5,"['Mid-Level', 'Senior']"
QA Engineer,3,7,5.0,"['Mid-Level', 'Senior']"
ERP Specialist,3,6,4.5,"['Mid-Level', 'Senior']"
ERP Specialist,2,6,4.0,"['Junior', 'Senior']"
Sales & Business Development,2,5,3.5,"['Junior', 'Mid-Level']"
IT Infrastructure Engineer,2,3,2.5,"['Junior', 'Mid-Level']"
Full Stack Developer,5,10,7.5,"['Mid-Level', 'Lead / Principal']"
Consulting & Specialist,3,6,4.5,"['Mid-Level', 'Senior']"
IT Infrastructure Engineer,3,5,4.0,['Mid-Level']
Software Engineer,4,6,5.0,"['Mid-Level', 'Senior']"
Sales & Business Development,3,7,5.0,"['Mid-Level', 'Senior']"
Full Stack Developer,5,6,5.5,"['Mid-Level', 'Senior']"
Full Stack Developer,3,6,4.5,"['Mid-Level', 'Senior']"
Software Engineer,2,6,4.0,"['Junior', 'Senior']"
Software Engineer,3,5,4.0,['Mid-Level']
IT Infrastructure Engineer,5,10,7.5,"['Mid-Level', 'Lead / Principal']"
Security Engineer,3,6,4.5,"['Mid-Level', 'Senior']"
Technical Support Engineer,1,3,2.0,"['Junior', 'Mid-Level']"
Security Engineer,1,6,3.5,"['Junior', 'Senior']"
Backend Developer,3,7,5.0,"['Mid-Level', 'Senior']"
Sales & Business Development,3,6,4.5,"['Mid-Level', 'Senior']"
IT Infrastructure Engineer,3,5,4.0,['Mid-Level']
Technical Support Engineer,2,3,2.5,"['Junior', 'Mid-Level']"
Sales & Business Development,2,4,3.0,"['Junior', 'Mid-Level']"
Management,15,20,17.5,['Executive / Expert']
Full Stack Developer,2,7,4.5,"['Junior', 'Senior']"
Frontend Developer,3,5,4.0,['Mid-Level']
QA Engineer,1,3,2.0,"['Junior', 'Mid-Level']"
ERP Specialist,5,10,7.5,"['Mid-Level', 'Lead / Principal']"
Full Stack Developer,5,6,5.5,"['Mid-Level', 'Senior']"
Full Stack Developer,3,6,4.5,"['Mid-Level', 'Senior']"
Frontend Developer,3,6,4.5,"['Mid-Level', 'Senior']"
Data Analyst,3,6,4.5,"['Mid-Level', 'Senior']"
Data Analyst,3,6,4.5,"['Mid-Level', 'Senior']"
Consulting & Specialist,4,7,5.5,"['Mid-Level', 'Senior']"
ERP Specialist,2,5,3.5,"['Junior', 'Mid-Level']"
Sales & Business Development,5,7,6.0,"['Mid-Level', 'Senior']"
Security Engineer,5,6,5.5,"['Mid-Level', 'Senior']"
Software Engineer,5,6,5.5,"['Mid-Level', 'Senior']"
Data Analyst,1,3,2.0,"['Junior', 'Mid-Level']"
Product Manager,3,10,6.5,"['Mid-Level', 'Lead / Principal']"
ERP Specialist,8,6,7.0,['Senior']
Technical Support Engineer,5,7,6.0,"['Mid-Level', 'Senior']"
DevOps Engineer,3,7,5.0,"['Mid-Level', 'Senior']"
Software Engineer,2,4,3.0,"['Junior', 'Mid-Level']"
Technical Support Engineer,3,6,4.5,"['Mid-Level', 'Senior']"
Software Engineer,2,3,2.5,"['Junior', 'Mid-Level']"
Technical Support Engineer,2,5,3.5,"['Junior', 'Mid-Level']"
ERP Specialist,3,6,4.5,"['Mid-Level', 'Senior']"
ERP Specialist,2,4,3.0,"['Junior', 'Mid-Level']"
ERP Specialist,5,10,7.5,"['Mid-Level', 'Lead / Principal']"
IT Infrastructure Engineer,2,3,2.5,"['Junior', 'Mid-Level']"
Product Manager,1,3,2.0,"['Junior', 'Mid-Level']"
Software Engineer,3,7,5.0,"['Mid-Level', 'Senior']"
IT Infrastructure Engineer,2,5,3.5,"['Junior', 'Mid-Level']"
IT Infrastructure Engineer,5,10,7.5,"['Mid-Level', 'Lead / Principal']"
Technical Support Engineer,2,3,2.5,"['Junior', 'Mid-Level']"
IT Infrastructure Engineer,3,7,5.0,"['Mid-Level', 'Senior']"
ERP Specialist,3,5,4.0,['Mid-Level']
AI/ML Engineer,4,7,5.5,"['Mid-Level', 'Senior']"
Full Stack Developer,4,6,5.0,"['Mid-Level', 'Senior']"
Software Engineer,1,6,3.5,"['Junior', 'Senior']"
AI/ML Engineer,1,6,3.5,"['Junior', 'Senior']"
Sales & Business Development,2,6,4.0,"['Junior', 'Senior']"
Backend Developer,2,7,4.5,"['Junior', 'Senior']"
Software Engineer,5,6,5.5,"['Mid-Level', 'Senior']"
Frontend Developer,8,10,9.0,['Lead / Principal']
Technical Support Engineer,0,2,1.0,"['Fresh Graduate', 'Junior']"
ERP Specialist,2,3,2.5,"['Junior', 'Mid-Level']"
Sales & Business Development,4,9,6.5,"['Mid-Level', 'Senior']"
Full Stack Developer,3,7,5.0,"['Mid-Level', 'Senior']"
ERP Specialist,10,6,8.0,['Senior']
Project Manager,5,7,6.0,"['Mid-Level', 'Senior']"
Software Engineer,2,5,3.5,"['Junior', 'Mid-Level']"
DevOps Engineer,10,10,10.0,['Lead / Principal']
Software Engineer,3,7,5.0,"['Mid-Level', 'Senior']"
Technical Support Engineer,2,6,4.0,"['Junior', 'Senior']"
Marketing & Content,3,6,4.5,"['Mid-Level', 'Senior']"
QA Engineer,1,3,2.0,"['Junior', 'Mid-Level']"
Software Engineer,3,6,4.5,"['Mid-Level', 'Senior']"
ERP Specialist,5,10,7.5,"['Mid-Level', 'Lead / Principal']"
Software Engineer,0,2,1.0,"['Fresh Graduate', 'Junior']"
Data Analyst,2,4,3.0,"['Junior', 'Mid-Level']"
QA Engineer,2,6,4.0,"['Junior', 'Senior']"
Project Manager,5,10,7.5,"['Mid-Level', 'Lead / Principal']"
Software Engineer,3,7,5.0,"['Mid-Level', 'Senior']"
AI/ML Engineer,3,7,5.0,"['Mid-Level', 'Senior']"
Data Analyst,2,4,3.0,"['Junior', 'Mid-Level']"
Software Engineer,5,8,6.5,"['Mid-Level', 'Senior']"
Management,5,10,7.5,"['Mid-Level', 'Lead / Principal']"
ERP Specialist,5,10,7.5,"['Mid-Level', 'Lead / Principal']"
Management,20,6,13.0,['Senior']
QA Engineer,4,6,5.0,"['Mid-Level', 'Senior']"
Frontend Developer,3,7,5.0,"['Mid-Level', 'Senior']"
Technical Support Engineer,3,6,4.5,"['Mid-Level', 'Senior']"
IT Infrastructure Engineer,6,8,7.0,['Senior']
IT Infrastructure Engineer,2,4,3.0,"['Junior', 'Mid-Level']"
ERP Specialist,8,6,7.0,['Senior']
Software Engineer,5,10,7.5,"['Mid-Level', 'Lead / Principal']"
Education & Training,2,5,3.5,"['Junior', 'Mid-Level']"
ERP Specialist,3,5,4.0,['Mid-Level']
ERP Specialist,3,5,4.0,['Mid-Level']
ERP Specialist,3,5,4.0,['Mid-Level']
AI/ML Engineer,3,6,4.5,"['Mid-Level', 'Senior']"
Full Stack Developer,3,6,4.5,"['Mid-Level', 'Senior']"
Operations & Administration,3,5,4.0,['Mid-Level']
Technical Support Engineer,7,6,6.5,['Senior']
Full Stack Developer,3,7,5.0,"['Mid-Level', 'Senior']"
Product Manager,3,7,5.0,"['Mid-Level', 'Senior']"
Sales & Business Development,1,3,2.0,"['Junior', 'Mid-Level']"
Software Engineer,0,2,1.0,"['Fresh Graduate', 'Junior']"
ERP Specialist,3,7,5.0,"['Mid-Level', 'Senior']"
Software Engineer,3,10,6.5,"['Mid-Level', 'Lead / Principal']"
Backend Developer,5,6,5.5,"['Mid-Level', 'Senior']"
Software Engineer,1,7,4.0,"['Junior', 'Senior']"
Business Analyst,4,6,5.0,"['Mid-Level', 'Senior']"
Sales & Business Development,5,10,7.5,"['Mid-Level', 'Lead / Principal']"
AI/ML Engineer,0,2,1.0,"['Fresh Graduate', 'Junior']"
Sales & Business Development,3,5,4.0,['Mid-Level']
Software Engineer,5,10,7.5,"['Mid-Level', 'Lead / Principal']"
Technical Support Engineer,3,7,5.0,"['Mid-Level', 'Senior']"
ERP Specialist,2,4,3.0,"['Junior', 'Mid-Level']"
Backend Developer,3,6,4.5,"['Mid-Level', 'Senior']"
Management,8,20,14.0,['Executive / Expert']
DevOps Engineer,5,7,6.0,"['Mid-Level', 'Senior']"
Software Engineer,5,6,5.5,"['Mid-Level', 'Senior']"
Technical Support Engineer,4,7,5.5,"['Mid-Level', 'Senior']"
Software Engineer,3,6,4.5,"['Mid-Level', 'Senior']"
Full Stack Developer,3,6,4.5,"['Mid-Level', 'Senior']"
Frontend Developer,3,6,4.5,"['Mid-Level', 'Senior']"
Technical Support Engineer,3,5,4.0,['Mid-Level']
Software Engineer,2,7,4.5,"['Junior', 'Senior']"
IT Infrastructure Engineer,3,5,4.0,['Mid-Level']
Data Engineer,8,6,7.0,['Senior']
Technical Support Engineer,2,4,3.0,"['Junior', 'Mid-Level']"
Frontend Developer,3,6,4.5,"['Mid-Level', 'Senior']"
Engineering (General),7,10,8.5,['Lead / Principal']
Security Engineer,5,8,6.5,"['Mid-Level', 'Senior']"
Mobile Developer,2,4,3.0,"['Junior', 'Mid-Level']"
IT Infrastructure Engineer,2,4,3.0,"['Junior', 'Mid-Level']"
ERP Specialist,3,7,5.0,"['Mid-Level', 'Senior']"
Software Engineer,5,6,5.5,"['Mid-Level', 'Senior']"
Product Manager,8,10,9.0,['Lead / Principal']
Backend Developer,8,15,11.5,['Lead / Principal']
IT Infrastructure Engineer,2,4,3.0,"['Junior', 'Mid-Level']"
QA Engineer,3,5,4.0,['Mid-Level']
Software Engineer,2,6,4.0,"['Junior', 'Senior']"
Software Engineer,5,10,7.5,"['Mid-Level', 'Lead / Principal']"
Technical Support Engineer,1,2,1.5,['Junior']
Software Engineer,4,6,5.0,"['Mid-Level', 'Senior']"
Software Engineer,7,6,6.5,['Senior']
Full Stack Developer,5,10,7.5,"['Mid-Level', 'Lead / Principal']"
IT Infrastructure Engineer,3,7,5.0,"['Mid-Level', 'Senior']"
ERP Specialist,2,3,2.5,"['Junior', 'Mid-Level']"
Software Engineer,5,20,12.5,"['Mid-Level', 'Executive / Expert']"
Sales & Business Development,3,4,3.5,['Mid-Level']
Sales & Business Development,5,10,7.5,"['Mid-Level', 'Lead / Principal']"
Management,7,10,8.5,['Lead / Principal']
Sales & Business Development,3,6,4.5,"['Mid-Level', 'Senior']"
Sales & Business Development,3,5,4.0,['Mid-Level']
Sales & Business Development,3,5,4.0,['Mid-Level']
Sales & Business Development,2,5,3.5,"['Junior', 'Mid-Level']"
HR & Recruitment,1,3,2.0,"['Junior', 'Mid-Level']"
Management,10,6,8.0,['Senior']
Sales & Business Development,2,6,4.0,"['Junior', 'Senior']"
Frontend Developer,3,5,4.0,['Mid-Level']
Software Engineer,3,5,4.0,['Mid-Level']
IT Infrastructure Engineer,5,6,5.5,"['Mid-Level', 'Senior']"
Consulting & Specialist,8,6,7.0,['Senior']
Consulting & Specialist,3,10,6.5,"['Mid-Level', 'Lead / Principal']"
Business Analyst,3,5,4.0,['Mid-Level']
Frontend Developer,2,4,3.0,"['Junior', 'Mid-Level']"
Full Stack Developer,3,6,4.5,"['Mid-Level', 'Senior']"
Full Stack Developer,3,5,4.0,['Mid-Level']
Technical Support Engineer,0,3,1.5,"['Fresh Graduate', 'Mid-Level']"
Technical Support Engineer,2,4,3.0,"['Junior', 'Mid-Level']"
Software Engineer,3,20,11.5,"['Mid-Level', 'Executive / Expert']"
Technical Support Engineer,0,2,1.0,"['Fresh Graduate', 'Junior']"
IT Infrastructure Engineer,1,3,2.0,"['Junior', 'Mid-Level']"
Business Analyst,3,7,5.0,"['Mid-Level', 'Senior']"
Software Engineer,0,5,2.5,"['Fresh Graduate', 'Mid-Level']"
Technical Support Engineer,2,4,3.0,"['Junior', 'Mid-Level']"
ERP Specialist,3,7,5.0,"['Mid-Level', 'Senior']"
Software Engineer,3,7,5.0,"['Mid-Level', 'Senior']"
Frontend Developer,3,6,4.5,"['Mid-Level', 'Senior']"
AI/ML Engineer,1,6,3.5,"['Junior', 'Senior']"
Full Stack Developer,2,5,3.5,"['Junior', 'Mid-Level']"
QA Engineer,3,6,4.5,"['Mid-Level', 'Senior']"
Software Engineer,3,5,4.0,['Mid-Level']
Consulting & Specialist,1,3,2.0,"['Junior', 'Mid-Level']"
Software Engineer,1,6,3.5,"['Junior', 'Senior']"
Management,6,8,7.0,['Senior']
Security Engineer,2,5,3.5,"['Junior', 'Mid-Level']"
Full Stack Developer,1,4,2.5,"['Junior', 'Mid-Level']"
IT Infrastructure Engineer,1,3,2.0,"['Junior', 'Mid-Level']"
ERP Specialist,3,6,4.5,"['Mid-Level', 'Senior']"
Security Engineer,5,5,5.0,['Mid-Level']
Technical Support Engineer,5,7,6.0,"['Mid-Level', 'Senior']"
Data Engineer,2,5,3.5,"['Junior', 'Mid-Level']"
Software Engineer,8,15,11.5,['Lead / Principal']
Backend Developer,6,12,9.0,['Lead / Principal']
DevOps Engineer,0,2,1.0,"['Fresh Graduate', 'Junior']"
Data Engineer,3,7,5.0,"['Mid-Level', 'Senior']"
Business Analyst,4,8,6.0,"['Mid-Level', 'Senior']"
Product Manager,3,5,4.0,['Mid-Level']
Technical Support Engineer,1,3,2.0,"['Junior', 'Mid-Level']"
Engineering (General),0,4,2.0,"['Fresh Graduate', 'Mid-Level']"
DevOps Engineer,2,4,3.0,"['Junior', 'Mid-Level']"
Software Engineer,3,4,3.5,['Mid-Level']
Software Engineer,10,15,12.5,['Lead / Principal']
DevOps Engineer,3,6,4.5,"['Mid-Level', 'Senior']"
Product Manager,2,7,4.5,"['Junior', 'Senior']"
Project Manager,5,10,7.5,"['Mid-Level', 'Lead / Principal']"
Software Engineer,3,7,5.0,"['Mid-Level', 'Senior']"
Business Analyst,4,6,5.0,"['Mid-Level', 'Senior']"
Management,10,15,12.5,['Lead / Principal']
Engineering (General),7,10,8.5,['Lead / Principal']
Data Analyst,5,7,6.0,"['Mid-Level', 'Senior']"
Software Engineer,5,7,6.0,"['Mid-Level', 'Senior']"
Product Manager,2,6,4.0,"['Junior', 'Senior']"
Software Engineer,1,3,2.0,"['Junior', 'Mid-Level']"
Technical Support Engineer,2,7,4.5,"['Junior', 'Senior']"
Software Engineer,1,6,3.5,"['Junior', 'Senior']"
Security Engineer,2,6,4.0,"['Junior', 'Senior']"
Software Engineer,2,3,2.5,"['Junior', 'Mid-Level']"
IT Infrastructure Engineer,3,6,4.5,"['Mid-Level', 'Senior']"
Consulting & Specialist,5,6,5.5,"['Mid-Level', 'Senior']"
Marketing & Content,2,6,4.0,"['Junior', 'Senior']"
Marketing & Content,2,6,4.0,"['Junior', 'Senior']"
Project Manager,4,6,5.0,"['Mid-Level', 'Senior']"
Marketing & Content,2,6,4.0,"['Junior', 'Senior']"
Consulting & Specialist,1,2,1.5,['Junior']
ERP Specialist,2,3,2.5,"['Junior', 'Mid-Level']"
Software Engineer,3,7,5.0,"['Mid-Level', 'Senior']"
Frontend Developer,3,7,5.0,"['Mid-Level', 'Senior']"
QA Engineer,8,12,10.0,['Lead / Principal']
AI/ML Engineer,3,10,6.5,"['Mid-Level', 'Lead / Principal']"
Consulting & Specialist,5,6,5.5,"['Mid-Level', 'Senior']"
Consulting & Specialist,2,3,2.5,"['Junior', 'Mid-Level']"
Engineering (General),2,6,4.0,"['Junior', 'Senior']"
Software Engineer,4,6,5.0,"['Mid-Level', 'Senior']"
Technical Support Engineer,3,7,5.0,"['Mid-Level', 'Senior']"
Technical Support Engineer,3,7,5.0,"['Mid-Level', 'Senior']"
Technical Support Engineer,2,5,3.5,"['Junior', 'Mid-Level']"
Software Engineer,3,5,4.0,['Mid-Level']
Operations & Administration,1,3,2.0,"['Junior', 'Mid-Level']"
Business Analyst,3,5,4.0,['Mid-Level']
Sales & Business Development,2,6,4.0,"['Junior', 'Senior']"
Full Stack Developer,5,6,5.5,"['Mid-Level', 'Senior']"
Full Stack Developer,5,7,6.0,"['Mid-Level', 'Senior']"
Software Engineer,5,7,6.0,"['Mid-Level', 'Senior']"
IT Infrastructure Engineer,3,5,4.0,['Mid-Level']
Mobile Developer,1,3,2.0,"['Junior', 'Mid-Level']"
Technical Support Engineer,3,7,5.0,"['Mid-Level', 'Senior']"
Mobile Developer,2,7,4.5,"['Junior', 'Senior']"
Technical Support Engineer,0,1,0.5,"['Fresh Graduate', 'Junior']"
Product Manager,1,3,2.0,"['Junior', 'Mid-Level']"
IT Infrastructure Engineer,1,2,1.5,['Junior']
Consulting & Specialist,2,6,4.0,"['Junior', 'Senior']"
Technical Support Engineer,0,2,1.0,"['Fresh Graduate', 'Junior']"
Software Engineer,3,7,5.0,"['Mid-Level', 'Senior']"
ERP Specialist,7,12,9.5,['Lead / Principal']
Technical Support Engineer,2,8,5.0,"['Junior', 'Senior']"
Software Engineer,5,6,5.5,"['Mid-Level', 'Senior']"
IT Infrastructure Engineer,1,3,2.0,"['Junior', 'Mid-Level']"
ERP Specialist,4,6,5.0,"['Mid-Level', 'Senior']"
Sales & Business Development,1,3,2.0,"['Junior', 'Mid-Level']"
IT Infrastructure Engineer,3,5,4.0,['Mid-Level']
Sales & Business Development,4,6,5.0,"['Mid-Level', 'Senior']"
Engineering (General),7,10,8.5,['Lead / Principal']
Technical Support Engineer,1,2,1.5,['Junior']
Frontend Developer,3,7,5.0,"['Mid-Level', 'Senior']"
ERP Specialist,5,7,6.0,"['Mid-Level', 'Senior']"
QA Engineer,3,6,4.5,"['Mid-Level', 'Senior']"
Full Stack Developer,5,8,6.5,"['Mid-Level', 'Senior']"
Software Engineer,3,6,4.5,"['Mid-Level', 'Senior']"
Product Manager,3,7,5.0,"['Mid-Level', 'Senior']"
Operations & Administration,1,4,2.5,"['Junior', 'Mid-Level']"
HR & Recruitment,0,2,1.0,"['Fresh Graduate', 'Junior']"
ERP Specialist,1,3,2.0,"['Junior', 'Mid-Level']"
Data Analyst,1,3,2.0,"['Junior', 'Mid-Level']"
ERP Specialist,3,6,4.5,"['Mid-Level', 'Senior']"
Technical Support Engineer,1,3,2.0,"['Junior', 'Mid-Level']"
Software Engineer,3,7,5.0,"['Mid-Level', 'Senior']"
AI/ML Engineer,3,5,4.0,['Mid-Level']
Product Manager,6,8,7.0,['Senior']
Operations & Administration,5,10,7.5,"['Mid-Level', 'Lead / Principal']"
Full Stack Developer,3,7,5.0,"['Mid-Level', 'Senior']"
Software Engineer,4,10,7.0,"['Mid-Level', 'Lead / Principal']"
ERP Specialist,1,3,2.0,"['Junior', 'Mid-Level']"
Technical Support Engineer,2,5,3.5,"['Junior', 'Mid-Level']"
Marketing & Content,5,10,7.5,"['Mid-Level', 'Lead / Principal']"
Software Engineer,3,5,4.0,['Mid-Level']
Software Engineer,5,6,5.5,"['Mid-Level', 'Senior']"
Operations & Administration,1,3,2.0,"['Junior', 'Mid-Level']"
Technical Support Engineer,2,4,3.0,"['Junior', 'Mid-Level']"
Design & Creative,5,7,6.0,"['Mid-Level', 'Senior']"
Software Engineer,2,6,4.0,"['Junior', 'Senior']"
Software Engineer,5,6,5.5,"['Mid-Level', 'Senior']"
Operations & Administration,3,7,5.0,"['Mid-Level', 'Senior']"
ERP Specialist,5,6,5.5,"['Mid-Level', 'Senior']"
Software Engineer,1,2,1.5,['Junior']
Project Manager,5,6,5.5,"['Mid-Level', 'Senior']"
Mobile Developer,4,6,5.0,"['Mid-Level', 'Senior']"
QA Engineer,5,6,5.5,"['Mid-Level', 'Senior']"
Software Engineer,1,3,2.0,"['Junior', 'Mid-Level']"
Business Analyst,7,6,6.5,['Senior']
ERP Specialist,1,3,2.0,"['Junior', 'Mid-Level']"
IT Infrastructure Engineer,1,2,1.5,['Junior']
Product Manager,4,6,5.0,"['Mid-Level', 'Senior']"
Operations & Administration,1,3,2.0,"['Junior', 'Mid-Level']"
Design & Creative,0,2,1.0,"['Fresh Graduate', 'Junior']"
Data Scientist,2,4,3.0,"['Junior', 'Mid-Level']"
Mobile Developer,5,6,5.5,"['Mid-Level', 'Senior']"
QA Engineer,5,10,7.5,"['Mid-Level', 'Lead / Principal']"
Data Analyst,0,3,1.5,"['Fresh Graduate', 'Mid-Level']"
Data Scientist,0,3,1.5,"['Fresh Graduate', 'Mid-Level']"
ERP Specialist,3,6,4.5,"['Mid-Level', 'Senior']"
Operations & Administration,7,15,11.0,['Lead / Principal']
Business Analyst,8,6,7.0,['Senior']
Consulting & Specialist,3,7,5.0,"['Mid-Level', 'Senior']"
DevOps Engineer,2,4,3.0,"['Junior', 'Mid-Level']"
Full Stack Developer,4,6,5.0,"['Mid-Level', 'Senior']"
QA Engineer,4,7,5.5,"['Mid-Level', 'Senior']"
Engineering (General),0,2,1.0,"['Fresh Graduate', 'Junior']"
Software Engineer,10,15,12.5,['Lead / Principal']
Software Engineer,2,6,4.0,"['Junior', 'Senior']"
Software Engineer,6,15,10.5,['Lead / Principal']
Security Engineer,3,7,5.0,"['Mid-Level', 'Senior']"
Technical Support Engineer,2,3,2.5,"['Junior', 'Mid-Level']"
Operations & Administration,5,10,7.5,"['Mid-Level', 'Lead / Principal']"
Security Engineer,3,6,4.5,"['Mid-Level', 'Senior']"
IT Infrastructure Engineer,5,6,5.5,"['Mid-Level', 'Senior']"
ERP Specialist,4,6,5.0,"['Mid-Level', 'Senior']"
Project Manager,8,6,7.0,['Senior']
ERP Specialist,3,7,5.0,"['Mid-Level', 'Senior']"
Software Engineer,2,6,4.0,"['Junior', 'Senior']"
Software Engineer,5,10,7.5,"['Mid-Level', 'Lead / Principal']"
Consulting & Specialist,1,2,1.5,['Junior']
Marketing & Content,3,7,5.0,"['Mid-Level', 'Senior']"
Frontend Developer,3,6,4.5,"['Mid-Level', 'Senior']"
IT Infrastructure Engineer,2,3,2.5,"['Junior', 'Mid-Level']"
